county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,301.64,High,2022-03-03
Lunenburg County,51111,Virginia,12196,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,9.1,11.7,360.77,High,2022-03-03
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,130.35,Medium,2022-03-03
Loudoun County,51107,Virginia,413538,69,"Fairfax, VA - Arlington, VA",1995976,3.1,2.9,141.70,Low,2022-03-03
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,0.0,37.9,341.54,High,2022-03-03
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,75.45,Low,2022-03-03
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,93.31,Low,2022-03-03
King George County,51099,Virginia,26836,135,"Stafford, VA - Spotsylvania, VA",375694,9.8,8.8,78.25,Low,2022-03-03
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,28.47,Low,2022-03-03
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,4.1,2.8,120.23,Low,2022-03-03
Isle of Wight County,51093,Virginia,37109,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,3.1,4.7,45.81,Low,2022-03-03
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,8.8,17.9,273.97,High,2022-03-03
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,4.5,0.5,134.50,Low,2022-03-03
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,103.38,Low,2022-03-03
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,230.13,Medium,2022-03-03
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,9.1,11.7,147.44,Medium,2022-03-03
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,0.0,0.0,114.68,Low,2022-03-03
Greene County,51079,Virginia,19819,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,191.74,Medium,2022-03-03
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,5.8,23.9,334.41,High,2022-03-03
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,143.14,Low,2022-03-03
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,4.1,2.8,96.39,Low,2022-03-03
Giles County,51071,Virginia,16720,70,"Montgomery, VA - Pulaski, VA",196215,11.7,41.3,221.29,High,2022-03-03
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,8.9,9.2,143.32,Low,2022-03-03
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,74.94,Medium,2022-03-03
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,62.34,Medium,2022-03-03
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,285.73,High,2022-03-03
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,3.1,2.7,88.46,Low,2022-03-03
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,3.1,2.9,76.16,Low,2022-03-03
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,136.95,Low,2022-03-03
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,7.6,14.5,112.11,Medium,2022-03-03
Dickenson County,51051,Virginia,14318,55,"Wise, VA - Lee, VA",79105,0.0,37.9,349.21,High,2022-03-03
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,90.62,Low,2022-03-03
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,150.18,Medium,2022-03-03
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,116.94,Medium,2022-03-03
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,8.9,9.2,164.17,Low,2022-03-03
Chesterfield County,51041,Virginia,352802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,123.87,Low,2022-03-03
Charlotte County,51037,Virginia,11880,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,185.19,Low,2022-03-03
Carroll County,51035,Virginia,29791,73,"Carroll, VA - Grayson, VA",62825,5.8,23.9,191.33,High,2022-03-03
Caroline County,51033,Virginia,30725,135,"Stafford, VA - Spotsylvania, VA",375694,9.8,8.8,192.03,Low,2022-03-03
Campbell County,51031,Virginia,54885,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,340.71,High,2022-03-03
Buckingham County,51029,Virginia,17148,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,151.62,Medium,2022-03-03
Buchanan County,51027,Virginia,21004,39,"Mercer, WV - Tazewell, VA",144261,12.8,29.8,533.23,High,2022-03-03
Brunswick County,51025,Virginia,16231,130,"Brunswick, VA - Greensville, VA",32913,0.0,0.0,117.06,Low,2022-03-03
Botetourt County,51023,Virginia,33419,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,278.28,High,2022-03-03
Bland County,51021,Virginia,6280,39,"Mercer, WV - Tazewell, VA",144261,12.8,29.8,222.93,High,2022-03-03
Bedford County,51019,Virginia,78997,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,219.00,High,2022-03-03
Bath County,51017,Virginia,4147,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,9.7,26.2,144.68,High,2022-03-03
Augusta County,51015,Virginia,75558,97,"Augusta, VA - Staunton City, VA",161807,8.8,17.9,156.17,Medium,2022-03-03
Arlington County,51013,Virginia,236842,69,"Fairfax, VA - Arlington, VA",1995976,3.1,2.9,89.93,Low,2022-03-03
Appomattox County,51011,Virginia,15911,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,289.11,High,2022-03-03
Amherst County,51009,Virginia,31605,14,"Roanoke City, VA - Roanoke, VA",592537,10.3,14.3,354.37,High,2022-03-03
Amelia County,51007,Virginia,13145,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,5.3,9.8,22.82,Low,2022-03-03
Alleghany County,51005,Virginia,14860,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,9.7,26.2,195.15,High,2022-03-03
Albemarle County,51003,Virginia,109330,99,"Albemarle, VA - Charlottesville City, VA",383641,6.8,15.1,210.37,High,2022-03-03
Accomack County,51001,Virginia,32316,137,"Accomack, VA - Northampton, VA",44026,4.0,2.3,24.76,Low,2022-03-03
Albemarle County,51003,Virginia,109330,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,107.93,Medium,2022-03-10
Winchester City,51840,Virginia,28078,25,"Berkeley, WV - Frederick, VA",433166,5.9,6.5,32.05,Low,2022-03-10
Williamsburg City,51830,Virginia,14954,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,6.69,Low,2022-03-10
Waynesboro City,51820,Virginia,22630,97,"Augusta, VA - Staunton City, VA",161807,6.3,10.5,70.70,Medium,2022-03-10
Virginia Beach City,51810,Virginia,449974,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,46.00,Low,2022-03-10
Suffolk City,51800,Virginia,92108,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,28.23,Low,2022-03-10
Staunton City,51790,Virginia,24932,97,"Augusta, VA - Staunton City, VA",161807,6.3,10.5,76.21,Medium,2022-03-10
Salem City,51775,Virginia,25301,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,0.00,Medium,2022-03-10
Roanoke City,51770,Virginia,99143,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,48.41,Medium,2022-03-10
Richmond City,51760,Virginia,230436,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,94.60,Low,2022-03-10
Radford City,51750,Virginia,18249,70,"Montgomery, VA - Pulaski, VA",196215,9.1,11.7,87.68,Medium,2022-03-10
Portsmouth City,51740,Virginia,94398,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,43.43,Low,2022-03-10
Poquoson City,51735,Virginia,12271,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,57.05,Low,2022-03-10
Petersburg City,51730,Virginia,31346,77,"Petersburg City, VA - Prince George, VA",138353,5.4,11.6,66.99,Medium,2022-03-10
Norton City,51720,Virginia,3981,55,"Wise, VA - Lee, VA",79105,27.9,20.2,175.84,High,2022-03-10
Norfolk City,51710,Virginia,242742,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,51.91,Low,2022-03-10
Newport News City,51700,Virginia,179225,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,34.59,Low,2022-03-10
Martinsville City,51690,Virginia,12554,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,3.9,1.0,71.69,Low,2022-03-10
Manassas Park City,51685,Virginia,17478,109,"Prince William (Dale City), VA - Fauquier, VA",600120,1.7,0.7,51.49,Low,2022-03-10
Manassas City,51683,Virginia,41085,109,"Prince William (Dale City), VA - Fauquier, VA",600120,1.7,0.7,31.64,Low,2022-03-10
Lynchburg City,51680,Virginia,82168,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,231.23,High,2022-03-10
Lexington City,51678,Virginia,7446,97,"Augusta, VA - Staunton City, VA",161807,6.3,10.5,214.88,High,2022-03-10
Hopewell City,51670,Virginia,22529,77,"Petersburg City, VA - Prince George, VA",138353,5.4,11.6,57.70,Medium,2022-03-10
Harrisonburg City,51660,Virginia,53016,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.8,5.4,39.61,Low,2022-03-10
Hampton City,51650,Virginia,134510,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,54.27,Low,2022-03-10
Galax City,51640,Virginia,6347,73,"Carroll, VA - Grayson, VA",62825,3.5,12.7,63.02,Medium,2022-03-10
Fredericksburg City,51630,Virginia,29036,135,"Stafford, VA - Spotsylvania, VA",375694,7.4,5.9,24.11,Low,2022-03-10
Franklin City,51620,Virginia,7967,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,12.55,Low,2022-03-10
Falls Church City,51610,Virginia,14617,69,"Fairfax, VA - Arlington, VA",1995976,2.2,2.2,75.25,Low,2022-03-10
Fairfax City,51600,Virginia,24019,69,"Fairfax, VA - Arlington, VA",1995976,2.2,2.2,8.33,Low,2022-03-10
Emporia City,51595,Virginia,5346,130,"Brunswick, VA - Greensville, VA",32913,0.7,3.0,336.70,Medium,2022-03-10
Danville City,51590,Virginia,40044,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,3.9,1.0,404.55,Medium,2022-03-10
Covington City,51580,Virginia,5538,30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",72482,4.5,22.1,90.29,High,2022-03-10
Colonial Heights City,51570,Virginia,17370,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,51.81,Low,2022-03-10
Chesapeake City,51550,Virginia,244835,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,49.01,Low,2022-03-10
Charlottesville City,51540,Virginia,47266,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,143.87,Medium,2022-03-10
Buena Vista City,51530,Virginia,6478,97,"Augusta, VA - Staunton City, VA",161807,6.3,10.5,138.93,Medium,2022-03-10
Bristol City,51520,Virginia,16762,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,10.2,21.7,89.49,High,2022-03-10
Alexandria City,51510,Virginia,159428,69,"Fairfax, VA - Arlington, VA",1995976,2.2,2.2,107.89,Low,2022-03-10
York County,51199,Virginia,68280,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,41.01,Low,2022-03-10
Wythe County,51197,Virginia,28684,70,"Montgomery, VA - Pulaski, VA",196215,9.1,11.7,132.48,Medium,2022-03-10
Wise County,51195,Virginia,37383,55,"Wise, VA - Lee, VA",79105,27.9,20.2,235.40,High,2022-03-10
Westmoreland County,51193,Virginia,18015,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,66.61,Low,2022-03-10
Washington County,51191,Virginia,53740,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,10.2,21.7,104.21,High,2022-03-10
Warren County,51187,Virginia,40164,25,"Berkeley, WV - Frederick, VA",433166,5.9,6.5,57.27,Low,2022-03-10
Tazewell County,51185,Virginia,40595,39,"Mercer, WV - Tazewell, VA",144261,10.4,16.6,248.80,High,2022-03-10
Sussex County,51183,Virginia,11159,77,"Petersburg City, VA - Prince George, VA",138353,5.4,11.6,35.85,Medium,2022-03-10
Surry County,51181,Virginia,6422,77,"Petersburg City, VA - Prince George, VA",138353,5.4,11.6,46.71,Medium,2022-03-10
Stafford County,51179,Virginia,152882,135,"Stafford, VA - Spotsylvania, VA",375694,7.4,5.9,96.15,Low,2022-03-10
Spotsylvania County,51177,Virginia,136215,135,"Stafford, VA - Spotsylvania, VA",375694,7.4,5.9,137.28,Low,2022-03-10
Southampton County,51175,Virginia,17631,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,17.02,Low,2022-03-10
Smyth County,51173,Virginia,30104,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,10.2,21.7,129.55,High,2022-03-10
Shenandoah County,51171,Virginia,43616,25,"Berkeley, WV - Frederick, VA",433166,5.9,6.5,82.54,Low,2022-03-10
Scott County,51169,Virginia,21566,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,10.2,21.7,88.10,High,2022-03-10
Russell County,51167,Virginia,26586,151,"Sullivan (Kingsport), TN - Hawkins, TN",363892,10.2,21.7,146.69,High,2022-03-10
Rockingham County,51165,Virginia,81948,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.8,5.4,53.69,Low,2022-03-10
Rockbridge County,51163,Virginia,22573,97,"Augusta, VA - Staunton City, VA",161807,6.3,10.5,48.73,Medium,2022-03-10
Roanoke County,51161,Virginia,94186,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,697.56,High,2022-03-10
Richmond County,51159,Virginia,9023,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,88.66,Low,2022-03-10
Rappahannock County,51157,Virginia,7370,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,13.57,Medium,2022-03-10
Pulaski County,51155,Virginia,34027,70,"Montgomery, VA - Pulaski, VA",196215,9.1,11.7,138.13,Medium,2022-03-10
Prince William County,51153,Virginia,470335,109,"Prince William (Dale City), VA - Fauquier, VA",600120,1.7,0.7,46.14,Low,2022-03-10
Prince George County,51149,Virginia,38353,77,"Petersburg City, VA - Prince George, VA",138353,5.4,11.6,208.59,High,2022-03-10
Prince Edward County,51147,Virginia,22802,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,166.65,Low,2022-03-10
Powhatan County,51145,Virginia,29652,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,205.72,Medium,2022-03-10
Pittsylvania County,51143,Virginia,60354,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,3.9,1.0,362.86,Medium,2022-03-10
Patrick County,51141,Virginia,17608,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,3.9,1.0,85.19,Low,2022-03-10
Page County,51139,Virginia,23902,63,"Rockingham, VA - Harrisonburg City, VA",165835,2.8,5.4,58.57,Low,2022-03-10
Orange County,51137,Virginia,37051,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,37.79,Medium,2022-03-10
Nottoway County,51135,Virginia,15232,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,111.61,Low,2022-03-10
Northumberland County,51133,Virginia,12095,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,0.00,Low,2022-03-10
Northampton County,51131,Virginia,11710,137,"Accomack, VA - Northampton, VA",44026,4.7,0.0,51.24,Low,2022-03-10
New Kent County,51127,Virginia,23091,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,8.66,Low,2022-03-10
Nelson County,51125,Virginia,14930,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,60.28,Medium,2022-03-10
Montgomery County,51121,Virginia,98535,70,"Montgomery, VA - Pulaski, VA",196215,9.1,11.7,89.31,Medium,2022-03-10
Middlesex County,51119,Virginia,10582,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,56.70,Low,2022-03-10
Mecklenburg County,51117,Virginia,30587,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,6.4,13.0,114.43,Medium,2022-03-10
Mathews County,51115,Virginia,8834,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,135.84,Low,2022-03-10
Madison County,51113,Virginia,13261,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,746.55,High,2022-03-10
Lunenburg County,51111,Virginia,12196,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,6.4,13.0,163.99,Medium,2022-03-10
Louisa County,51109,Virginia,37591,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,101.09,Medium,2022-03-10
Loudoun County,51107,Virginia,413538,69,"Fairfax, VA - Arlington, VA",1995976,2.2,2.2,93.82,Low,2022-03-10
Lee County,51105,Virginia,23423,55,"Wise, VA - Lee, VA",79105,27.9,20.2,72.58,High,2022-03-10
Lancaster County,51103,Virginia,10603,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,47.16,Low,2022-03-10
King William County,51101,Virginia,17148,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,23.33,Low,2022-03-10
King George County,51099,Virginia,26836,135,"Stafford, VA - Spotsylvania, VA",375694,7.4,5.9,37.26,Low,2022-03-10
King and Queen County,51097,Virginia,7025,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,28.47,Low,2022-03-10
James City County,51095,Virginia,76523,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,35.28,Low,2022-03-10
Isle of Wight County,51093,Virginia,37109,6,"Virginia Beach City, VA - Norfolk City, VA",1214527,2.0,2.9,18.86,Low,2022-03-10
Highland County,51091,Virginia,2190,97,"Augusta, VA - Staunton City, VA",161807,6.3,10.5,91.32,Medium,2022-03-10
Henry County,51089,Virginia,50557,132,"Pittsylvania (Danville), VA - Danville City, VA",203721,3.9,1.0,65.27,Low,2022-03-10
Henrico County,51087,Virginia,330818,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,67.11,Low,2022-03-10
Hanover County,51085,Virginia,107766,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,103.93,Low,2022-03-10
Halifax County,51083,Virginia,33911,71,"Halifax with South Boston City, VA - Mecklenburg, VA",76694,6.4,13.0,176.93,Medium,2022-03-10
Greensville County,51081,Virginia,11336,130,"Brunswick, VA - Greensville, VA",32913,0.7,3.0,105.86,Low,2022-03-10
Greene County,51079,Virginia,19819,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,131.19,Medium,2022-03-10
Grayson County,51077,Virginia,15550,73,"Carroll, VA - Grayson, VA",62825,3.5,12.7,192.93,Medium,2022-03-10
Goochland County,51075,Virginia,23753,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,75.78,Low,2022-03-10
Gloucester County,51073,Virginia,37348,5,"Newport News City, VA - Hampton City, VA",531945,2.0,0.9,64.26,Low,2022-03-10
Giles County,51071,Virginia,16720,70,"Montgomery, VA - Pulaski, VA",196215,9.1,11.7,131.58,Medium,2022-03-10
Frederick County,51069,Virginia,89313,25,"Berkeley, WV - Frederick, VA",433166,5.9,6.5,52.62,Low,2022-03-10
Franklin County,51067,Virginia,56042,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,82.08,Medium,2022-03-10
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,84.34,Medium,2022-03-10
Floyd County,51063,Virginia,15749,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,152.39,Medium,2022-03-10
Fauquier County,51061,Virginia,71222,109,"Prince William (Dale City), VA - Fauquier, VA",600120,1.7,0.7,63.18,Low,2022-03-10
Fairfax County,51059,Virginia,1147532,69,"Fairfax, VA - Arlington, VA",1995976,2.2,2.2,73.20,Low,2022-03-10
Essex County,51057,Virginia,10953,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,82.17,Low,2022-03-10
Dinwiddie County,51053,Virginia,28544,77,"Petersburg City, VA - Prince George, VA",138353,5.4,11.6,178.67,Medium,2022-03-10
Dickenson County,51051,Virginia,14318,55,"Wise, VA - Lee, VA",79105,27.9,20.2,209.53,High,2022-03-10
Cumberland County,51049,Virginia,9932,33,"Henrico (Richmond), VA - Chesterfield, VA",1291086,3.5,7.2,201.37,Medium,2022-03-10
Culpeper County,51047,Virginia,52605,99,"Albemarle, VA - Charlottesville City, VA",383641,4.8,10.4,5.70,Medium,2022-03-10
Craig County,51045,Virginia,5131,14,"Roanoke City, VA - Roanoke, VA",592537,7.5,10.1,38.98,Medium,2022-03-10
Clarke County,51043,Virginia,14619,25,"Berkeley, WV - Frederick, VA",433166,5.9,6.5,61.56,Low,2022-03-10
